,"données brutes de fichier de digit de branche fuji36, branche + arbre fuji 42 et branche fuji 48 réarrangées",,,,,,,,,,,,,,,L*l*coef allométrie 2001/10,
#,X,Y,Z,A,B,C,code rameau,type rameau,Long rameau(mm),Long rameau(cm),Nbr feuille,L feuille(mm),largeur feuille,N° fruit,L digitalisée,Surf foliaire(cm²),somme surf foliaire rameau
1,128.43,55.52,-161.03,119.39,-16.28,2.62,,,, ,L3,24,17,,,3.007368,
1,127.85,56.06,-159.87,156.57,4.98,-73.54,F36PC4,PC,4,0.40,1,,,,0.36,,6.014736
1,128.05,56.17,-160.15,154.8,6.79,-72.09,,,, ,,,,, ,,
1,128.65,54.75,-160.88,118.01,-28.77,2.31,,,, ,L1,34,24,,,6.014736,
1,127.11,56.41,-160.25,-165.89,-22.76,-67.22,F36PC5,PC,5,0.50,4,,,,0.59,,105.302106
1,126.68,56.76,-160.05,-177.3,-20.77,-61,,,, ,,,,, ,,
1,129.83,54.5,-162.93,121.47,-31.75,-40.29,,,, ,L1,71,49,,,25.643709,
1,125.39,58.58,-160.67,-50.49,-8.7,57.75,,,, ,L2,81,55,,,32.837805,
1,126.67,58.55,-161.81,-55.24,-18.79,77.58,,,, ,L3,72,36,,,19.105632,
1,127.7,59.89,-161.51,-102.88,5.36,1.95,,,, ,L4,80,47,,,27.71496,
1,125.82,54.72,-156.06,-85.19,35.23,1.59,F36I8,I,3,0.30,5,,,,0.35,,12.744459
1,125.48,54.68,-156.12,-86.04,35.48,0.55,,,, ,,,,, ,,
1,127.13,54.41,-154.88,-169.31,44.84,-26.81,,,, ,L1,23,17,,,2.882061,
1,125.23,53.65,-154.67,-35.11,56.94,13.99,,,, ,L2,27,20,,,3.98034,
1,125.84,52.41,-155.48,73.55,27.03,-15.05,,,, ,L3,17,12,,,1.503684,
1,127.83,53.07,-156.59,113.38,1.81,6.22,,,, ,L4,27,20,,,3.98034,
1,127.15,53.4,-155.36,-179.29,28.55,-32.13,,,, ,L5,9,6,,,0.398034,
1,133.19,54.43,-147.27,-142.33,48.34,22.91,F36I9,I,2,0.20,3,,,,0.17,,8.321859
1,133.23,54.27,-147.31,-141.89,49.39,22.55,,,, ,,,,, ,,
1,133.22,54.48,-147.82,154.92,-0.98,-85.8,,,, ,L1,24,18,,,3.184272,
1,133.31,54.7,-148.43,-81.6,-34.77,70.42,,,, ,L2,25,18,,,3.31695,
1,133.45,55.21,-147.47,-112.8,3.59,87.27,,,, ,L3,19,13,,,1.820637,
1,134.44,53.88,-142.76,-139.94,33.49,35.29,F36VC7,VC,3,0.30,2,,,,0.40,,6.604416
1,134.63,53.53,-142.74,-138.81,33.53,36.23,,,, ,,,,, ,,
1,135.3,54.68,-144.23,152.01,-71.37,-113.1,,,, ,L1,30,24,,,5.30712,
1,135.87,54.67,-143.77,-25.59,-63.02,53.74,,,, ,L2,16,11,,,1.297296,
1,134.59,53.81,-140.88,143.9,8.3,7.38,F36IF5,IF,7,0.70,4,,,9,0.74,,22.393098
1,134.55,53.74,-140.14,143.62,7.33,6.92,,,, ,,,,, ,,
1,134.62,56.06,-140.9,-98.59,-16.94,-171.83,,,, ,L1,37,28,,,7.636356,
1,135.5,54.92,-141.26,-129.57,-40.27,149.47,,,, ,L2,20,14,,,2.06388,
1,135.2,53.88,-141.51,-152.57,-58.18,150.11,,,, ,L3,36,27,,,7.164612,
1,133.22,54.77,-141.6,-100.24,-33.2,-95.33,,,, ,L4,30,25,,,5.52825,
1,133.72,54.26,-140.51,-70.62,12.58,22.58,F36PL1,PL,64,6.40,4,,,RC8OMBRE,6.19,,145.149732
1,130.93,56.06,-135.28,-89.77,30.08,19.81,,,, ,,,,, ,,
1,132.79,58.11,-138.47,-91.69,-2,79.53,,,, ,L1,77,58,,,32.918886,
1,131.54,58,-137.89,-85.91,-14.9,36.35,,,, ,L2,86,54,,,34.230924,
1,130.56,51.28,-135.91,67.67,74.93,-57.55,,,, ,L3,91,66,,,44.270226,
1,133.14,51.3,-136.77,91.43,19.74,-78.61,,,, ,L4,88,52,,,33.729696,
1,126.07,54.06,-148.92,-142.02,-9.86,58.12,F36IF6,IF,5,0.50,4,,,6,0.57,,13.41522
